Alabama,4.000
Alaska,0.000
Arizona,5.600
Arkansas,6.500
California,7.500
Colorado,2.900
Connecticut,6.350
Delaware,0.000
District of Columbia,5.750
Florida,6.000
Georgia,4.000
Hawaii,4.000
Idaho,6.000
Illinois,6.250
Indiana,7.000
Iowa,6.000
Kansas,6.150
Kentucky,6.000
Louisiana,4.000
Maine,5.500
Maryland,6.000
Massachusetts,6.250
Michigan,6.000
Minnesota,6.875
Mississippi,7.000
Missouri,4.225
Montana,0.000
Nebraska,5.500
Nevada,6.850
New Hampshire,0.000
New Jersey,7.000
New Mexico,5.125
New York,4.000
North Carolina,4.750
North Dakota,5.000
Ohio,5.750
Oklahoma,4.500
Oregon,0.000
Pennsylvania,6.000
Rhode Island,7.000
South Carolina,6.000
South Dakota,4.000
Tennessee,7.000
Texas,6.250
Utah,4.700
Vermont,6.000
Virginia,4.300
Washington,6.500
West Virginia,6.000
Wisconsin,5.000
Wyoming,4.000
